hostname,session_name,folder
135.193.182.52,so1ca01ibc,Prod IBCs
135.193.182.53,so1ca02ibc,Prod IBCs
135.193.182.54,so1ca03ibc,Prod IBCs
135.193.182.55,so1ca04ibc,Prod IBCs
135.193.182.56,so1ca05ibc,Prod IBCs
135.193.182.57,so1ca06ibc,Prod IBCs
135.193.182.58,so1ca07ibc,Prod IBCs
135.193.182.59,so1ca08ibc,Prod IBCs
135.190.170.33,aa0ga01stc,Prod IBCs
135.190.170.34,aa0ga02stc,Prod IBCs
135.192.180.38,ch0il01stc,Prod IBCs
135.192.180.39,ch0il02stc,Prod IBCs
135.192.188.38,cl0oh01stc,Prod IBCs
135.192.188.39,cl0oh02stc,Prod IBCs
135.191.197.24,da0tx01stc,Prod IBCs
135.191.197.25,da0tx02stc,Prod IBCs
135.191.197.154,hs0tx01stc,Prod IBCs
135.191.197.155,hs0tx02stc,Prod IBCs
135.189.92.146,nw0ny01stc,Prod IBCs
135.189.92.147,nw0ny02stc,Prod IBCs
135.193.184.34,oa0ca01stc,Prod IBCs
135.193.184.35,oa0ca02stc,Prod IBCs
135.190.170.145,or0fl01stc,Prod IBCs
135.190.170.146,or0fl02stc,Prod IBCs
135.193.139.141,se0wa01stc,Prod IBCs
135.193.139.142,se0wa02stc,Prod IBCs
135.193.182.36,so0ca01stc,Prod IBCs
135.193.182.37,so0ca02stc,Prod IBCs
135.189.159.19,wa0dc01stc,Prod IBCs
135.189.159.20,wa0dc02stc,Prod IBCs
